Name,Pick,Strengths,Weaknesses,Height,Weight,Age
Alen Smailagic,39,"Versatile forward/center, with stretch big potential … Showed great adaptability coming all the way from 3rd-tier Regional Serbian Division, holding his ground against grown men in the G-League as a 18 year old … Has a great motor and is not afraid to go against anyone … High basketball I.Q … He is fairly long, with a 7-2 feet wingspan … Better athlete than most people think … His body is still growing … Has already a nice looking physique, with wide shoulders that suggest that his body can fill up nicely … Moves smoothly on the court for a player his size and has good body control … Has nice soft hands that help him catch the ball with ease… He finishes strong at the basket … Has great footwork on the post and a variety of moves … Possesses a nice shooting form and has shown potential as a shooter … He can put the ball on the floor and he is an above average ball handler for his position … Attacks closeouts … Has some interesting moves in his repertoire, including a floater … Sets good screens on and off the ball… Can play the Pick and Roll at a good level, rolling hard to the basket … Has has also shown potential in Pick and Pop situations… Very good offensive rebounder, puts pressure on his opponent, crashing the glass … Has shown promise as a passer out of the double-team and while he is on the move … Smart defender, who knows how to put his body in the post … He moves constantly on defense and has active hands … Good instincts on covering the passing lanes, that help him make some steals… Has good timing when he contests shoots at the rim and can make some blocks…","He might be a better athlete than most people think, but he is still just an OK athlete by NBA standards … For now he is kind of undersize for a center, but not athletic enough for a power forward … His inexperience and lack of high level competition shows at times, since he has problems reading some situations on both ends of the floor … He kind of rushes things at times, trying to do things too fast… He is indeed fearless, but until he fills up his body he will have problems against bigger, more experienced opponents… His Face-Up game is still a work in progress… Just a streaky shooter for now, he can’t be considered a consistent threat from the perimeter … His ball handling still needs some polishing, because at times he just loses control of the ball … Has the tendency to put himself in difficult situations, just crushing in bodies when he drives to the basket… His lack of elite athleticism makes it difficult for him to finish in traffic … Just an average defensive rebounder… Has improved, but he still has problems guarding the Pick and Roll, especially if the has to switch on a perimeter player… Below average lateral quickness hurts him when he has to guard on the perimeter … He can lose focus on defense and just standing around after the second or the third defensive rotation … He can’t be considered a rim protector … Needs to trim some baby fat …",82,215,18.85
Justin James,40,"Wiry, athletic wing with good fluidity and experience … Excellent at finishing plays on the break … He’s great at scoring at off motion plays … He’s adequate at scoring when forced to create his own shot … He’s great at generating free throws … He averaged over 8 attempts per game last season … He’s shown the ability to make plays for his teammates when they’re open … He’s good at getting on the boards and bringing down rebounds … He averaged 7.5 rebounds last season … He’s shown solid ability to guard his man and has displayed good IQ on the defensive end of the floor … He’s a good athlete … His scoring increased every year that he’s been in college … He’s a good player coming off the pick and roll …","He needs to work on his shooting ability … Form lacks great fluisity and an ideal motion … He only shot 30% from the three point line last season … For his college career, he only shot 33%, which was bolstered by an outlier year where he hit over 40% of his shots … He needs to be more careful with the basketball … He averaged 4.2 turnovers per game last season, whch if he doesn’t improve will gift wrap points to other teams in the NBA …  At times he struggles to score in traffic … His shot selection needs work … As evidenced by his 40 percent shooting from the field last season … He has limited experience playing against top competition … He needs to put on more weight, he’s only at 185 right now …",79,180,22.42
Eric Paschall,41,"A prototypical glue guy with impressive motor and effort … His constant hustle results in winning plays … A solid shooter for his size at 6’7’’ and 255 pounds … Excels at scoring on the move … Solid form on his jumper and converts mid-range shots and 3-pointers efficiently … Has improved his 3-point shot significantly since his freshman year … His combination of strength and quickness is difficult to defend, specifically when he attacks the basket ..  Tremendous finisher at the rim with the ability to score with both hands …  When the defense collapses, he makes the right decision to pass the ball to an open teammate … Explosive. His impressive leaping ability allows him to crash the boards on both ends of the court … An excellent screener and spaces the floor well on the offensive end … An above average defender with solid shooting ability …  Moves his feet very well for a guy his size … Very hard worker on both ends of the floor … Good free throw shooter (77% in college) … Works hard off the ball setting screens for teammates… Great leadership and discipline through college career… Modern big man who can step out and make the long-range shot… Elevates well for his jump shots and can get them off over almost anyone… Huge wingpsan makes up for his lack of ideal height …","At 6’7’’, he will struggle to guard and rebound against taller players in the post, doesn’t have a real defined position  … Older player (5th year senior who will turn 23 in November) without a ton of upside, having just finished his senior season at Villanova … Struggled in the role of go to scorer in senior year … Hasn’t shown much fluidity/athleticism on offense (possibly a product of the Villanova offense) … Lacks an explosive first step off the dribble and the speed of elite NBA forwards … Not a great spot up shooter … Can be over-aggressive defensively, resulting in unwanted fouls … He must learn to move his feet better instead of relying on his upper body for defense … Got used to handling the ball, but doesn;t seem have the ball skills to handle at the NBA level … Average at best rebounder in college despite his size … Has not shown much in terms of post offense … Has not had to guard down in the post much at Villanova …",79,255,22.64
Admiral Schofield,42,"Good shooter and has developed solid range  …  Decent scorer from the post, and has the ability to post-up and hit contested jump shots … Above average scorer off the dribble. Can either beat you off the bounce or pull-up from mid-range and nail the jumper … Decent playmaker, rarely made bad decisions … Average defensive player … Decent quickness and above average strength that makes him tough to beat off the dribble … Good rebounder especially for his position, averaged 6.1 rebounds per game last year. Get’s great position with strength and athletic ability … Great strength which allows him to create space from defender and finish tough through contact around the rim … Great athlete, probably had the poster of the year in college basketball. Schofield has solid quickness and an impressive leap … Very good motor, always plays his hardest and genuinely cares about winning … Good form on his jump shot which allowed him to improve from beyond the arc each year during his tenure at Tennessee … Not afraid to take jumpers, has great range and can knock down the shot in a variety of ways. Schofield scored numerous times from the perimeter by catch-and-shoot, off the dribble, or even fighting through screens to get open … Dedicated to get better. Freshman year Schofield checked in with 11% body fat and his senior year brought it down to 5%. Allowed him to be more athletic and quicker which has catapulted his draft stock … Can cover multiple positions due to lateral quickness and strength to guard bigger players … Solid leader and has great intangibles …","Does not draw enough fouls when driving to the lane, only averaged 2.3 FTA per game … Schofield is a big body who should consistently be able to put pressure on the defense when cutting and driving to the lane … Like I said, Schofield is not afraid to take the jumper but that means he sometimes settles which results in his low FTA mark … Schofield averaged 4.8 3PA per game last year, granted he hit them at a 42% clip, but just because he can space the floor doesn’t mean he shouldn’t put pressure on the defense on the interior … While Schofield is a quality playmaker, he has room to improve in regard to passing ability … He or Grant Williams were constantly double teamed which should’ve allowed for more assist’s opportunities (2.0 APG) … Schofield does struggle to guard quicker players; he has the lateral quickness and strength to do it but sometimes is caught flat-footed … For someone who is an average defensive player and athletic specimen, Schofield should be able to rack up more steals and blocks … Schofield is 22 years old which can be a red flag in comparison to the younger talent that has plenty of room to grow …",77,240,22.24
Jaylen Nowell,43,Combo guard with solid athleticism and ISO scoring ability … Handles the ball well for a shooting guard; capable of bringing it up the floor like a point guard … Knows how to move without the ball. Use screens to free himself up …  Pretty alert on defense … Knows where to be … Does a good job forcing turnovers (1.3 steals per game) … Confident shooter (16.2 points per game on 44.0% from 3-point range) … Capable of hitting tough shots … Good shooting motion … Very athletic … Can throw it down easily and excels on the break … Very dangerous in the open floor … Knows how to get to the rim and finish … Creative and crafty finisher … Rebounds well for a guard … Has a good nose for the ball … Plays with a lot of energy … Has a solid motor …,"He’s undersized for a shooting guard at 6’4”, 200 pounds … Will need to prove he can overcome his lack of size in the NBA … His ability to make tough shots is a double edged sword … Sometimes he’ll take shots that are a bit forced … Needs to improve his shot selection … Ball security needs to improve (2.9 turnovers per game) … Averaged a modest 3.1 assists per game … He would boost his stock if he could become a better facilitator and play some point guard … Free throw shooting is good, but he regressed from his freshman year (80.0%) to sophomore year (77.9%) … It would be nice if he could get back in the 80% territory …",76,200,19.96
Bol Bol,44,"Has unusual size and length for an NBA big (7’2”, 7’5"" wingspan, 225 pounds) … Ability to knock down outside shots at a high rate makes his very unique … Moves well and is able to get out and move in transition with solid agility … Quick for his size and has solid agility … Has the potential to be elite on both ends of the floor due to his freakish physical package … Has the tools (speed, length, anticipation) to potentially be an elite rim protector … Gets up really well after grabbing a rebound … Explodes to the rim really well … Elevates with ease and has very good lateral speed when he applies himself … Has good hands … Usually is the biggest player on the floor and does a good job taking advantage of his length inside … Handles the ball well for a big …  Has a nose for the ball … Does a good job of following his  shot and rebounding his own misses … Had a very prductive start to the year … Pretty aggressive on the boards (9.6 rebounds & 2.1 offensive rebounds per game) … Does a good job getting put-backs. Has solid touch for a big man … A natural on offense. Capable of hitting floaters and runners … Uses pump fakes well. Has polished moves … Knows how to put the ball on the floor and attack the rim … Capable of shooting from the perimeter (52.0% from 3-point range on 2.8 attempts per game) … Has a pretty fluid shooting motion … Knows how to score (21.0 points per game) … Does a good job using the pick and roll … Solid free throw shooter (75.7%) … Defends well inside and is eager to protect the rim (2.7 blocks per game) …","As impressive as he played early in his freshman season, his inability to stay on the floor due to injury calls into question his durability … Played in just 9 games at Oregon due to a stress fracture in his left foot … Questionable how reliable he’ll be at the next level … Whichever team drafts him will be taking an inherent gamble that he doesn’t have further health issues that derail his career … Sudanese have extremely thin bodytypes, and his body needs a lot of work … Putting good basketball weight on could be a challenge … Sometimes forces shots that aren’t there … He’s still figuring out how to best take advantage of his physical tools … Needs to learn to let the game come to him better … Could do a better job of passing out of double-teams and finding the open man and cutters (1 assist and 2 turnovers per game) … While he is capable of running the floor well in transition, doesn’t always hustle as well as he could … Still pretty wiry. Needs to do a better job of handling contact inside … Projects to have a substantial learning curve as he heads into the NBA … Might be a couple of years away from being a impact player as he still physically matures and develops …   High school reputation draws into question his team focus and attitude … Unwillingness to apply himself in interviews while in HS calls into question his focus and desire to apply himself at the highest level …",86,210,19.61
Isaiah Roby,45,"For the last three seasons at Nebraska, Isaiah Roby has established himself as a high level defender capable of guarding 1-5 at the collegiate level … Standing 6’8” tall and possessing a lean, athletic, 230 pound frame, Roby also sports a 7’3” wingspan that allows him to play much larger than his listed 6’8” height … Isaiah has also displayed great lateral quickness, and great defensive instincts … As a junior, he blocked 1.9 shots per game and also tallied 1.3 steals per contest … That kind of defensive production also doesn’t showcase his ability to hedge off pick and rolls, and switch defenders at a level that projects him to be a multi-position NBA defender … Roby is also a high level athlete, who gets off the ground quickly and paired with his lateral quickness, also has very good end to end speed … As a versatile NBA defender, he brings a lot to the table … Roby also hauls in 6.9 rebounds per contest which is a pretty solid number due to the fact he’s not always down low in the paint when shooting … From an offensive standpoint, Roby is not a go to offensive option, but he has a solid feel for the game, and is an effective passer … His 1.9 assists per game is a pretty good mark for a defensive minded forward, plus he has an above average handle for a forward, and is effective in transition due to the pairing of these two skills … He also is an improving spot up shooter who possesses good mechanics, and is at least respectable out to the college three point line … During his junior season, he knocked down 28 threes, which is almost one per contest … Isaiah Roby’s versatility as an offensive player gives him the ability to become a ""glue"" guy on offense, passing the ball, setting screens, pushing in transition, and knocking down open shots at the next level …","Did not break out into the star some expected in his junior season, at least from a statistical standpoint … While a good defensive player, and one who projects to carry these skills to the NBA, his scoring ability may limit his time on the court … As a junior, Isaiah averaged 11.8 points per game overall on 45% shooting,  but against NCAA tournament teams he saw this number dip to 10.9 points per game on just 41% shooting from the field … He’s still very much a work in progress when it comes to creating shots for himself, and he will need to improve significantly to be any sort of one on one threat in the NBA … Roby also shot 33% from the college 3 point line, which was good enough to keep his defender from lagging off, but his range does not extent to the NBA three point line at this point in his development as well … While blessed with great length and athletic ability, Roby only shot 59% at the rim (according to hoop-math.com) which is a sub-par number for a forward with his physical tools … It’s very possible it takes Isaiah the right team fit to see the floor  for extended periods of time early in his career due to his offensive limitations.",80,215,21.39
Talen Horton-Tucker,46,"238 pounds, despite his youth, Horton-Tucker has the strength to match the vast majority of NBA guards … An elite 7’1"" wingspan and strong hands also allows him to play much longer than his 6’4""; height … These traits directly helped his impressive defensive production at ISU … Blocking 23 shots (.7pg) and stealing the ball 45 times (1.3 pg) are both very good numbers for an 18 year old, and he also plays with great energy that makes him a good one on one defender who is capable of handing 3 positions at the collegiate level … In the NBA he’ll be able to guard both the point and shooting guard positions, and possibly some small forwards … Talen also has plus athletic ability, and is very quick laterally as well as an explosive leaper who has above the rim finishing ability at the guard spot … All of these traits allow him to be an great rebounder for a 6’4""; player … Averaging 4.9 rebounds per game is a very good mark for a player his size, and I suspect he’ll also be a plus rebounder at the guard spot in the NBA … Offensively he’s a pretty solid passer and has a good feel for the game … As a supplemental distributor with the Cyclones, he averaged 2.3 assists per game, and he’s a pretty solid one on one ball handler with some ability to create shots for himself … Horton-Tucker is also a tank in transition, and getting to the lane with the ability to take contact and still get a shot off … He averaged 11.8 shots per game and has the ability to heat up as he scored over 20 points in 6 games as a 2nd or 3rd option for ISU …. At the next level he’ll need to continue to hone these offensive skills, but the assumption is that he has additional potential due to the fact he won’t turn 19 until late November (2019) …","Lacks size at 6’4 at the wing position, but does have a big wingspan … Not the quickest of players … Talen’s biggest weakness right now is his shooting … He shot just 40% from the field, and that’s not entirely due to a poor jumpshot … He often forced the iso game and took poor quality shots … His 3 point percentage on the year was just 30% despite taking 4.2 long range attempts per game … This also plays into his shot selection … Horton-Tucker is streaky, and can get hot, but that’s an awful lot of 3 point attempts for such a poor outside shooter … His release is also a little slow, and at the next level when defenders are bigger and more athletic, he may have a harder time in iso situations … His shooting woes also bleed over to his free throw shooting where he shot just 62% from the charity stripe … He isn’t ready for meaningful NBA minutes right now, so development will be key for him early in his career … Can be a little foul prone at times, and will probably find the NBA game a little quick for him as a rookie, needs to learn to slow down and let the game come to him.",76,235,18.58
Ignas Brazdeikis,47,"A natural scorer, very aggressive in finding ways to get points … Has elite touch on his drives … Good 3-point shooter (39.2%)… Has the NBA-coveted ability to create his own shot … Makes the most of his natural athletic gifts … Led Michigan in scoring as a freshman at just under 15 ppg … Will battle more athletic players and closes the talent gap with intangibles and heart … Average quickness but possesses a surprising first step… Has a really good feel for the game… Should be a productive pick-and-roll guy at the next level … Uses his strong shoulders to absorb contact well, and finish off plays … Wide physical frame that will allow him to add 10-15 lbs of muscle early in his career … Competes at a high level on both ends of the court and on the glass … His fierce attitude will help cover for aspects of his game that he lacks physically … Very solid and consistent demeanor and performer … Over-achiever type …","The biggest question will be on the defensive end as he lacks ideal length and in particular foot speed … At 6’7 and not that much bigger of a wingspan (6’8) he won’t possess the quickness and length to stay in front of and check NBA small forwards, nor the length or physicality to match the power forwards… 8’5 standing reach is good for a shooting guard, but small at the 3 position … His toughness will help him initially but over time he will have to figure out how to overcome his defensive deficiencies… Offensively, to become elite he’ll have to improve his vision and playmaking skills for his teammates, otherwise he’ll put himself in a situation where he may be valued only as a spot-up shooter … A good but not great shooter, but could improve as time goes on considering his level of dedication … Shot 77% from the free throw line, which is solid but if shooting is his forte, he’ll need to raise that …",79,220,20.46
Terance Mann,48,"A gifted scorer at the rim with exceptional finishing ability  … Good size for his position at 6’6’’ … Has a powerful step when getting through contact and finishing at the rim … Can easily post up smaller defenders … Attacks the offensive glass … Solid rebounder, averaged 6.5 rebounds per game as a senior at Florida State … Very much improved free throw shooter (79%) … A smart player with a good feel for the game … Improved signifcantly from three-point range his senior season, shooting 39% from beyond the arc … Has proven to be a leader on the defensive end … One of the more NBA ready players available …","Sometimes over involves his teammates when the better decision is to attack the hoop himself and draw a foul … Exhibits a lack of confidence when shots are not falling … With his skillset and athletic abilities, he should be more assertive on the offensive end … Has to improve his ball handling skills in order to get past defenders at the next level … Will have to work on his outside jump shot … Tends to disappear at the end of big-time games … Struggled to perform at a high level in Florida State’s Elite 8 matchup against Gonzaga, scoring just five points on 1-for-8 shooting … Age (23 in October) makes him a prospect with less upside than most …",78,205,22.68
Quinndary Weatherspoon,49,,,76,205,22.79
Jarrell Brantley,50,"A potential small school sleeper … Undersized 4 with bounce and length … Has a nose for scoring … A good scorer off the dribble …  Understands how to advantage of mismatches down low in the post … He’s a solid shooter from the perimeter … Career 76% FT shooter showing very good touch for a post player … He’s great at scoring on off motion action plays … He’s a good rebounder, he grabbed 8.4 rebounds per game last season and averaged 7.9 over his college career … He’s a solid athlete with above average athleticism and explosiveness … For a player his size, he has tremendous strength … He’s good at defending his man on the perimeter as well as in the post … He allowed less than 1 point per isolation and post up plays … That versatility should allow him to get minutes in the NBA … Smaller power forwards like Paul Millsap have had success at the NBA level …","At 6’7, he’s small for the PF position at the NBA level … He’s a streaky three point shooter … Had a dip in shooting efficiency as a senior. He shot just under 33% from the three point line last season after hitting on almost 39% of them the season before … He doesn’t have an explosive first step off the dribble that he can blow by defenders with … He needs to work on his ability to set his teammates up with more accurate passes … He averaged more turnovers than assists during his college career, though his role as a scorer and level of talent surrounding him factored into that … He may have some trouble defending the perimeter, on pick and pops, against quicker players due to his lack of great footspeed and quickness … He didn’t play much against top level competition in college … He needs to work on his defense when his man doesn’t have the ball … Has shown a tendency to lose his man off the ball … Turned 23 in June …",79,255,23.05
Tremont Waters,51,"Two-way player, possesses NBA valued assets on both ends of the court… Fearless player with ice water running through his veins … Loves the big stage and never backs down from a challenge … Higher basketball IQ than most… Offensively he is a true floor general and proved it during his only two seasons at LSU… Equally as dangerous as a scorer and a passer (15.3ppg, 5.8apg)… Has a unique ability to finish around the rim despite being undersized (5’11, 175lbs)… Uses his body very well and anticipates when to absorb contact effectively… Has ability to go through multiple reads on Pick & Roll … On the other end of the court he was named SEC Defensive Player of the year because of his super-quick hands and impeccable anticipation off the ball … Led SEC in steals (2.9) during this past season …","The obvious question will be his size (measured at 5’9.5 barefoot – was the shortest player at combine)… He will have to prove that he can continue to be productive offensively against taller and longer players which he will see every night at the next level … Defensively, he looks to continue to be a pest and rack up steals, but players will test him routinely to see if he can defend 1-on-1 … For such a smart, focused and competitive player, made a lot of questionable decisions with games on the line this season … Being undersized for both length and weight, this will be Waters biggest hurdle … While he was a defensive standout in college, his ability to defend at the next level is a question mark due to his small stature …",71,175,21.45
Jalen McDaniels,52,"A lengthy combo forward player (6-9 with a 7-foot wingspan) … Great ball handling abilities, especially for his height (6’9’’) … Able to take most defenders off the dribble with an array of moves to get to the spot he wants … Possesses the length to score over shorter defenders with hook shots and floaters … Strong finishing abilities around the rim … Draws contact when he gets into the paint, converting his free throws at a high rate (78.8%) … In the post, he is patient with his back facing the basket, fully aware of where the defensive pressure is coming from … Knows when to pass the ball to an open teammate when he is double-teamed … Crashes the glass, averaged 8.3 rebounds per game as a sophomore at San Diego State … Plays with great energy on the offensive end … Uses his length to steal the ball from opponents …","Undisciplined defensively, often making careless fouls … Has a lot of upside on defense because of his overall size and wingspan, but his footwork is not where it needs to be … Tends to watch the ball bounce off the rim instead of finding a body to box out … Body has not shown the development it should have, raising some questions about his dedication and desire … Weighing only 195 pounds, he will need to add more strength and muscle … Must improve his outside shot, especially from the three point arc where he converted just 32% of his attempts this season … Inconsistent. Immensely talented, but seems to have a tendency to underachieve …",81,190,21.4
Justin Wright-Foreman,53,"Huge scorer, was among the leading scorers in the nation in both his junior and senior seasons … Explosive combo guard. Bouncy athlete … A shifty athlete .. Finishes off a lot of plays at the rim with dunks … Can score in a variety of ways with the ability to knock down shots from 3, and can score both off the pull up or spotting up … Very good at running the pick and roll … A better than advertised passer … Tremendous efficency on his shooting at 51.1 FG%, 42.5, 3P%, and 86.4 FT% … Solid maturity as a senior with four years of college at Hofstra …","Playing in the Colonial, he did not receive the same level of recognition that he may have in another conference. He also did not play the strongest competition night in and night out … As a senior and turning 22 later this year, in October, he lacks the perceived potential of some other guards … Seen as more of a scorer and shooting guard in a point guard’s body … His A/TO ratio was better as a junior. Was positive but not by much at 2.9 to 2.6 … Remains to be scene if he can have the same success as a role player and not as a star in a small conference, but appears to have the intangibles …",74,190,21.66
Marial Shayok,54,"Very good 3-point shooter at 38.1% career … Good free throw shooter at 87.8% his senior season … Efficient scorer and smart shooter at 49.6% his senior year … Can shoot the ball off the dribble …  Has the size to compete with NBA twos and threes … 7-foot wingspan on a wing player has a tendency to perk up the ears of scouts … Decent rebounder, but is not in the post very often … Good touch around the rim … Disciplined player on both sides of the court … Moves without the ball very well… Can score the basketball consistently from the outside … Has a nose for scoring and does so in a fairly efficent manner …","As an older player, not much upside. He will turn 25 in July, making him a long shot as an NBA prospect … Has only been a primary scorer for one year in college and was not relied on to be more than a role player in his three years at Virginia … Not the most fluid of athletes, a little rigid in his movements … Lacks NBA-level speeed and explosiveness… When driving to the hoop sometimes puts on the blinders even when the drive is not there … Does not look to pass very often … Lacks quickness on the defensive end against quicker players … May not be able to get the rim in the NBA like he could in college …",78,195,23.92
Kyle Guy,55,"After hitting big shot after big shot in route to an NCAA Championship at Virginia, Kyle Guy is throwing his hat in the ring in the 2019 NBA draft … An extremely high level long range shooter, Guy averaged .425% from beyond the arc over 3 years at Virginia … His range goes well beyond the NBA mark, and he’s extremely solid in the corners, where this skill has major appeal for spacing concerns … Kyle is crafty running off screens and has good enough ball handling to be able to create some separation when needed … Additionally, he has a quick release with excellent form which will aid him when shooting against longer, more athletic defenders … He also converted at the free throw line at an impressive 83% clip last season, and showcased the ability to hit big shots under lots of pressure throughout the Cavaliers tourney run … A surprisingly effective finisher around the rim, Guy is pretty quick and has the ability to improvise and hit a variety of flip shots and layups around the hoop … Hit 66.7% of his shots at the rim (hoop-math.com), which is very good for a player listed at 6’2 … Not a point guard, but has good vision, and is capable of making the right pass. In addition, he’s an extremely low mistake player who only turned the ball over 116 times in 3081 minutes during three seasons at Virginia (1 TO per 26 minutes of play) … Full of a vast array of tricks and hesitation moves in order to draw contact on his shots … An above average athlete, Kyle tested a 36.5 vertical, a 3.06 shuttle run and a 3.28 second 3/4 court sprint … He also displays plenty of in game quickness, and extremely quick hands on the defensive end. While undersized from an NBA capacity, playing in such a team defensive system in college helped display a good defensive IQ that will help make up for his slight frame and lack of height … A 6’4.5; wingspan is also a decent measurement for a player barely over 6 feet tall … A plus rebounder for a player with his physical makeup, his 4.8 rpg mark in ACC play was actually up from his non-conference number …","The biggest and most obvious knock on Kyle Guy is just a sheer lack of both height, and muscle … At just 168.7 pounds at the combine, he was the lightest player, and would be one of the lightest players in the NBA … He’ll need to gain strength to be able to fight off, and defend NBA guards … Additionally, at 6’0.75 barefoot and 6’2.25 in shoes, he’s very undersized for an NBA shooting guard … This will hinder his effectiveness on both ends of the floor … Even in an era where combo guards are more and more apparent, Guy will need to take his ball handling from above average to good or better in order to find regular minutes on an NBA court … Despite a solid wingspan his 7’11.5 standing reach will make him very easy to shoot over for opposing players … Playing next to Ty Jerome, he didn’t need to act as a facilitator much for the Cavaliers, but improving on his ability to set up others, and acting as more of a facilitator will help his cause at the next level as well … Transitioning to a true combo guard and less of an undersized two has been a good blue print for players similar to him that have made it in the NBA, and Guy would be wise follow suit …",74,170,21.87
Jaylen Hands,56,"Flashy point with explosiveness and confidence … A capable defender with decent size for the position … Capable of rotating and fighting through screens … Has the quickness to guard NBA point guards … Can disrupt passing lanes and force turnovers (1.0 steals per game.) Doesn’t overreach … Good rebounder for a lead guard. Not afraid to crash the offensive boards and absorb some contact … Does a good job rebounding, especially on defense (3.4 defensive rebounds per game) … Very good at pushing the ball in transition … Uses his quickness effectively to shake defenders and get to the rim … Good shooter with NBA range … Has a fluid motion and a confident stroke … Plays a fearless brand of basketball. Not afraid to take high pressure shots with a hand in his face (37.4% from 3-point range and 73.8% from the foul line) … Very comfortable shooting off the dribble … Can get hot and catch fire quickly …","While he has all the pieces to be a good defender, his alertness on defense could improve … He sometimes has the tendency to lose his man at times … Should look to get stronger in order to handle contact and finish drives, better utilize his leaping ability … Ball handling is solid, but it needs to improve for the NBA level as he tends to get sloppy and careless … Ball sometimes slips out of his hands when he is attacking the rim … His handle needs to tighten and passing and decision making must improve (1.8 turnovers per game). His distributing and focus on getting teammates open looks needs to improve (2.6 assists per game) … Sometimes he is a bit too eager to shoot before exploring all of his options … Has a tendency to get tunnel vision sometimes … Could stand to improve upon his floater in the lane …In his own words:  Jaylen Hands talked about his strengths and weaknesses at Pac-12 media day. “My strength is speed. Transition, I’m really good. I get teammates involved. I shoot it off the dribble, off the catch and I can get in the paint. So just making up plays happen, I think I’m a really good playmaker. And this year I’ll take a step forward in the process of really showing that as well.” –On his strengths  “I watched a lot of film and things that I’ve seen for me is decision making. I wasn’t as good of a decision maker as I could be last year. Strength and shooting. The NBA game is really simple and fast and is a lot of good decision making, so I watched a lot of film to improve my assist-to-turnover ratio. I improved my shot. Just moving off the dribble. More catch and shoots because that’s more helps team do better. So probably strength, shooting, and decision making is my biggest points.”-On areas for growth",75,180,20.36
Jordan Bone,57,"Elite athleticism, can run and jump with the best pros … 42.5-inch max vertical jump … Very quick player… Fastest lane agility, shuttle run and 3/4 court run at the NBA Draft Combine … Decent 3-point shooter, 35.3% in three seasons … After getting 32.9 minutes this season, showed he can pass the rock with 5.8 assists per game … Showed improved scoring ability his junior season with 13.5 points per game … Good body control in the air … Decent finisher … Good free throw shooter at 81.7% on the career (83.5% last season)… Has good shot selection and knows where his teammates are on the court … Works hard on defense … Has decent size at 6’3… Unselfish player, distributes to his teammates fairly well… Had a near 3/1 a/to ratio at 5.8 ast to 2 to … Can bring lots of energy to a team with his speed and quickness … Has good shooting touch from many places on the floor …","Will need to get stronger to fully utilize his athleticism at the next level … Could control his speed better in transition … Streaky shooter, needs to prove he can be consistent from NBA range … Looks great in workouts with his athleticism, but not sure if this translates to the court every game … May not be strong enough to scrap with NBA point guards … Will have difficulties switching onto bigger, stronger players off of screens … Though he was the point guard, did not run the Tennessee offense with Admiral Schofield and Grant Williams on the floor … Was not a consistent scorer, but also was not the team’s top scoring option … Despite his 6’3 (in shoes) height, does not have a great deal of length with just a 6’3.25 wingspan and 7’11 standing reach … Will turn 22 in November, making him older for a junior …",75,180,21.64
Miye Oni,58,"Has good size for an NBA wing (6’6”, 210 pounds) and has solid quickness as well … He passes the eye test … Pretty explosive to the rim … Able to finish through contact and make tough shots inside … Finishes well with both hands … Shoots with his right hand, but can go left … Handles the ball well with a nice crossover dribble … Capable of bringing the ball up the floor … Does a good job of moving without the ball … Does a solid job of staying in front of his man and hedging screens … Recovers well … Pretty versatile defender, able to guard positions 1-3 … Alert on both ends of the floor … Unselfish … Eager to make the right basketball play (e.g. Drive & kick) … Has good court vision … Smart player … Potential to be a player that contributes in multiple ways (had 12 points, 9 rebounds, & 5 assists against Duke) … Does a good job of getting to the line (79.5% on 5.6 attempts) … Pretty fluid shooting motion … Shows the motivation to improve his game (12.9 points per game as a freshman; 17.9 points per game as a junior) … Overall a pretty polished player. Not considered a project … Should be able to contribute to some extent at the next level right away … Team concept …","Will be 22 in August, so lacks the upside of many of the other draft prospects … Needs to improve his ball security (3.1 assists & 4.0 turnovers per game) … Sometimes makes careless passes … At times can be a bit too unselfish when his team needs him to attack more (10 pts in the first half against Duke; 2 pts in the second half) … Has the ability to go off (29 pts at Miami) … It would be nice to see him do that with a bit more regularity … Needs to improve his ability to finish over length … Could do a better job of defending without fouling (2.9 fouls per game) … Struggled mightily in Yale’s biggest game of the season shooting a dreadful 2-16 for five points in the NCAA tournament versus LSU … So there will be some that question his ability to step up to the limelight and perform well in big games …",77,205,21.89
Dewan Hernandez,59,,,82,235,22.54
